Instrument,Full citation,Type,Gazette reference,Effective,Verified on,Next review,Currency note,Applies to industries
"General Machinery Regulations, 1988","General Machinery Regulations, 1988, GNR 1521, Government Gazette 11443, 5 August 1988, made under the Machinery and Occupational Safety Act 6 of 1983 and kept in force under the Occupational Health and Safety Act 85 of 1993. The Regulations govern machinery supervision, safeguarding, and operation duties for machinery classes not covered by other regulations. They prescribe no standing medical battery: fitness for machinery work rests on EEA section 7 inherent requirements.",regulation,"GNR 1521, GG 11443, 5 August 1988",1988-08-05,2026-08-13,2027-02-13,"Published 5 August 1988 under the Machinery and Occupational Safety Act 6 of 1983; carried into force under section 44 of the Occupational Health and Safety Act 85 of 1993. Currency watch: a draft General Machinery Regulation, 2025 was published for public comment (GN 6532, GG 53210, August 2025) with the intention of replacing these Regulations; in force August 2026 pending that process.",Government and municipal
"General Safety Regulations, 1986","General Safety Regulations, 1986, GNR 1031, Government Gazette 10252, 30 May 1986, made under the Machinery and Occupational Safety Act 6 of 1983 and kept in force under the Occupational Health and Safety Act 85 of 1993. The Regulations govern first aid provision, personal protective equipment, work in elevated positions, ladders, and general workplace safety duties. They prescribe no standing medical battery: fitness for the work they govern rests on EEA section 7 inherent requirements.",regulation,"GNR 1031, GG 10252, 30 May 1986",1986-05-30,2026-08-13,2027-08-13,Published 30 May 1986 under the Machinery and Occupational Safety Act 6 of 1983; carried into force under section 44 of the Occupational Health and Safety Act 85 of 1993. In force August 2026 with amendments to the first aid and PPE provisions recorded in the consolidated texts.,Construction; Education; Government and municipal; Office and professional services; Petrochemical and fuel retail; Telecommunications and tower work
Hazardous Substances Act (radiation control),"Hazardous Substances Act 15 of 1973, Group III and Group IV hazardous substances provisions for ionising radiation, administered by the SAHPRA Radiation Control programme",act,,1973-04-01,2026-08-13,2027-08-13,"In force August 2026. Electronic generators of ionising radiation are Group III and radioactive sources Group IV hazardous substances; regulatory control, licensing, personal dose monitoring, and radiation worker protection run through SAHPRA Radiation Control (formerly the Department of Health Directorate Radiation Control), including the published radiation monitoring requirements guideline. Dose limits and monitoring conditions are applied from the licence and the SAHPRA guideline at examination time, never from memory.",Healthcare and laboratories
"HBA Regulations, 2022","Regulations for Hazardous Biological Agents, 2022, GN R.1887 of 16 March 2022, made under the Occupational Health and Safety Act 85 of 1993",regulation,"GN R.1887, 16 March 2022",2022-03-16,2026-08-13,2027-08-13,In force August 2026. Requires a documented medical surveillance system overseen by an occupational health practitioner where the HBA risk assessment indicates exposure risk with an identifiable disease or effect and a detection technique; all tests per a written medical protocol.,Agriculture and forestry; Cleaning and hygiene services; Education; Government and municipal; Healthcare and laboratories; Hospitality and food service; Manufacturing; Retail and wholesale; Utilities and energy; Waste management
"HCA Regulations, 2021","Regulations for Hazardous Chemical Agents, 2021, GN R.280, Government Gazette 44348 (Regulation Gazette 11263), 29 March 2021, made under the Occupational Health and Safety Act 85 of 1993",regulation,"GN R.280, GG 44348, RG 11263",2021-03-29,2026-08-12,2027-08-12,"Replaced the Hazardous Chemical Substances Regulations, 1995. Annexure tables list occupational exposure limits including respirable crystalline silica at 0.1 mg per cubic metre, 8 hour TWA. Medical surveillance duties for exposed employees.",Agriculture and forestry; Cleaning and hygiene services; Construction; Education; Government and municipal; Healthcare and laboratories; Hospitality and food service; Manufacturing; Office and professional services; Petrochemical and fuel retail; Retail and wholesale; Telecommunications and tower work; Transport and logistics; Utilities and energy; Waste management
HPCSA Booklet 1,"HPCSA General Ethical Guidelines for the Health Care Professions, Booklet 1, December 2021 revision",hpcsa,,2021-12-01,2026-08-12,2027-08-12,Current HPCSA ethical baseline for all registered practitioners. December 2021 revision current at check date.,Agriculture and forestry; Cleaning and hygiene services; Construction; Education; Government and municipal; Healthcare and laboratories; Hospitality and food service; Manufacturing; Mining; Office and professional services; Petrochemical and fuel retail; Retail and wholesale; Security services; Telecommunications and tower work; Transport and logistics; Utilities and energy; Waste management
HPCSA Booklet 10,"HPCSA General Ethical Guidelines for Good Practice in Telehealth, Booklet 10, revised December 2021",hpcsa,,2021-12-01,2026-08-12,2027-08-12,Telehealth guidance revised December 2021. Telehealth is not equivalent to face to face care and must not be introduced solely to cut costs or as a perverse incentive.,Construction; Healthcare and laboratories; Manufacturing; Mining; Transport and logistics
HPCSA Booklet 11,"HPCSA Guidelines on Over Servicing, Perverse Incentives and Related Matters, Booklet 11",hpcsa,,2021-12-01,2026-08-12,2027-08-12,Prohibits perverse incentives including charging or benefit arrangements around referrals. The house consequence: the employer is the payer and receiving specialists are never charged for referrals.,Agriculture and forestry; Cleaning and hygiene services; Construction; Education; Government and municipal; Healthcare and laboratories; Hospitality and food service; Manufacturing; Mining; Office and professional services; Petrochemical and fuel retail; Retail and wholesale; Security services; Telecommunications and tower work; Transport and logistics; Utilities and energy; Waste management
"Lead Regulations, 2001","Lead Regulations, 2001, GN R.236, Government Gazette 23175, 28 February 2002, made under the Occupational Health and Safety Act 85 of 1993",regulation,"GN R.236, GG 23175",2002-02-28,2026-08-13,2027-08-13,"In force August 2026. Airborne occupational exposure limit for lead 0.15 mg per cubic metre. Medical surveillance with biological monitoring: medical removal at a blood lead of 60 micrograms per decilitre (or 10 micrograms ZPP per gram haemoglobin); for women capable of procreation, removal at 40 and return at 30 micrograms per decilitre.",Manufacturing
"MHI Regulations, 2022","Major Hazard Installation Regulations, 2022, GN R.2989, Regulation Gazette 11536, Government Gazette 47970, in operation 31 January 2023, made under section 43 of the Occupational Health and Safety Act 85 of 1993, repealing the Major Hazard Installation Regulations, 2001 (GN R.692 of 30 July 2001). The Regulations govern risk assessments, emergency plans, and duties at installations holding threshold quantities of hazardous substances. They prescribe no standing medical battery: worker surveillance at major hazard installations rests on the HCA and companion OHSA instruments and the lawful testing basis is EEA section 7, with these Regulations anchoring the installation risk context.",regulation,"GN R.2989, RG 11536, GG 47970; in operation 31 January 2023",2023-01-31,2026-08-13,2027-08-13,"Promulgated 31 January 2023 with immediate repeal of the 2001 Regulations; correction notice GN 3420, GG 48627, 19 May 2023. In force August 2026.",Petrochemical and fuel retail
MHSA,"Mine Health and Safety Act 29 of 1996, section 13 medical surveillance provisions",act,,1997-01-15,2026-08-13,2027-08-13,"In force August 2026. Section 13: the employer must establish and maintain a system of medical surveillance of employees exposed to health hazards, consisting of an initial medical examination and further examinations at appropriate intervals; persons working at a mine must be declared medically fit before performing work.",Mining
NEM Waste Act,"National Environmental Management: Waste Act 59 of 2008, Government Gazette 32000, in operation 1 July 2009. The Act governs waste management licensing, the duty of care for waste holders, and healthcare risk waste control. It prescribes no standing occupational medical battery: waste worker surveillance rests on the OHSA instrument set and the lawful testing basis is EEA section 7, with this Act anchoring the sector duty of care context.",act,"Act 59 of 2008, GG 32000; in operation 1 July 2009",2009-07-01,2026-08-13,2027-08-13,"Amended by Act 14 of 2013, Act 25 of 2014, Act 26 of 2014 (GG 37714, with effect from 2 June 2014), and Act 2 of 2022; consolidated text current to 30 June 2023 on the national law library. In force August 2026.",Waste management
"NIHL Regulations, 2003","Noise-Induced Hearing Loss Regulations, 2003, GN R.307 of 7 March 2003, made under the Occupational Health and Safety Act 85 of 1993",regulation,"GN R.307, 7 March 2003",2003-03-07,2026-08-12,2026-09-06,"REPEAL PENDING: regulation 18 of the Noise Exposure Regulations, 2024 repeals these Regulations 18 months after promulgation of 6 March 2025, that is with effect from 6 September 2026. In force until that date. Noise rating limit 85 dB(A) 8 hour rating level. Audiometric testing required for exposed employees.",Agriculture and forestry; Construction; Education; Government and municipal; Healthcare and laboratories; Hospitality and food service; Manufacturing; Mining; Office and professional services; Petrochemical and fuel retail; Retail and wholesale; Security services; Telecommunications and tower work; Transport and logistics; Utilities and energy; Waste management
"Noise Exposure Regulations, 2024","Noise Exposure Regulations, 2024, GN 5953, Government Gazette 52226, 6 March 2025, made under the Occupational Health and Safety Act 85 of 1993",regulation,"GN 5953, GG 52226, 6 March 2025; NIHL Regulations, 2003 repealed 18 months from publication (06/09/2026)",2025-03-06,2026-08-12,2027-03-06,"Promulgated 6 March 2025 with Notices 5952 and 5954 (Physical Agents Regulations, 2024 and amendment of the General Safety Regulations). Repeals the Noise-Induced Hearing Loss Regulations, 2003 with effect from 6 September 2026. Accompanied by a new Code of Practice for Audiometry. Operative noise instrument from 06/09/2026. Confirmed 14/08/2026: published with the Physical Agents Regulations, 2024 and the Code of Practice for Audiometry with explanatory notes. The 85 dB(A) noise rating limit is retained, and a new action level of 82 dB(A) for continuous noise and 135 dB(C) for impulse noise applies where there is concomitant exposure to ototoxic chemical agents or whole body vibration. An exemption notice process under regulation 8(3) is recorded in 2025 to 2026 practice.",Agriculture and forestry; Construction; Education; Government and municipal; Healthcare and laboratories; Hospitality and food service; Manufacturing; Mining; Office and professional services; Petrochemical and fuel retail; Retail and wholesale; Security services; Telecommunications and tower work; Transport and logistics; Utilities and energy; Waste management
NRTA PrDP medical,"National Road Traffic Act 93 of 1996, Chapter 13 professional driving permits, read with the National Road Traffic Regulations, 2000 (GNR 225 of 17 March 2000), regulations 115 to 117: regulation 115 sets the categories of drivers requiring a professional driving permit, and regulation 117(b) disqualifies an applicant who is not medically fit, evidenced by the prescribed medical certificate form completed by a registered health practitioner.",act,,2000-08-01,2026-08-12,2027-08-12,"Professional Driving Permit applications require a medical certificate on the prescribed form, not older than two months at the time of application, assessing vision, hearing, cardiovascular, neurological, and general fitness.",Agriculture and forestry; Cleaning and hygiene services; Construction; Education; Government and municipal; Manufacturing; Mining; Office and professional services; Petrochemical and fuel retail; Retail and wholesale; Security services; Telecommunications and tower work; Transport and logistics; Waste management
ODMWA,Occupational Diseases in Mines and Works Act 78 of 1973,act,,1973-10-01,2026-08-13,2027-02-13,"In force August 2026, last substantively amended 1994 and further amended by the National Health Insurance Act 20 of 2023 (currency watch). Administered by the Medical Bureau for Occupational Diseases under the Department of Health: certification of compensable cardio respiratory organ disease in miners and ex miners, benefit medical examinations (two yearly for ex miners at accredited facilities), and lump sum compensation by degree of impairment. Mining lung disease routes here; all other conditions route to COIDA.",Mining
OHS Act,Occupational Health and Safety Act 85 of 1993,act,,1994-01-01,2026-08-12,2027-08-12,"Amended over time, including by the Occupational Health and Safety Amendment Act 181 of 1993. In force August 2026.",Agriculture and forestry; Cleaning and hygiene services; Construction; Education; Government and municipal; Healthcare and laboratories; Hospitality and food service; Manufacturing; Office and professional services; Petrochemical and fuel retail; Retail and wholesale; Security services; Telecommunications and tower work; Transport and logistics; Utilities and energy; Waste management
SANS 3000-4 (RSR),"SANS 3000-4:2011, Railway Safety Management, Human Factors Management, applied as a Railway Safety Regulator regulatory tool for medical fitness in safety critical railway occupations",sans,SANS 3000-4:2011,2011-01-01,2026-08-13,2027-08-13,"In force August 2026 as an RSR regulatory tool. Governs human factors management including medical fitness for safety critical railway occupations, with guidance on conditions and medications incompatible with safety critical duty. Clause level values are applied from the standard itself at examination time; the instrument is cited, not memorised clause values.",Transport and logistics
